x,y,value
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.808075508
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.820400374
BDH2_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.823451208
CS_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,0.811257165
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.815461048
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.822948424
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.820237049
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.803143538
PGAM1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.702712884
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.829806182
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.817606537
ACSM3_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.020132106
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.808286968
HAO1_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.898572416
TKT_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,0.910343371
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.818488077
PDHA2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.960038072
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.852675547
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.823301949
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.85216726
ACSS1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.316697924
