y,value,x
pDC_CD8Pos_over_cDC_CD8Pos,2.7896286,ALDOC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,3.114561591,ALDH2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.376066034,HK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.534958248,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.58814423,ENO2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.627587094,ENO3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.628555086,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.638892541,FBP2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.650589088,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.658965055,ALDH1A3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.69626159,GALM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.698458828,HK3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.710069135,FBP1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.713479055,ALDH3A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.768476446,PCK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.770387192,ALDOB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.786758424,G6PC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.796052728,ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.807806734,PKLR_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.81013911,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.818122861,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.821664072,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.827511897,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.827870384,LDHC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.840040337,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.840146763,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.840334166,ADH7_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.842485944,ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.848313059,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.859969234,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.861375586,GCK_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.885063585,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.888403402,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.891864937,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.892519398,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.892742617,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.895951165,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.897018645,PGAM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.899408208,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.899421871,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.900147301,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.906652167,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.907391845,PDHA2_GLYCOLYSIS_GLUCONEOGENESIS
